audio_peak_retention,audio_rmse_ratio,audio_roughness,elapsed_sec,error,family,feature_dim_audio,feature_dim_fused,feature_dim_probe,feature_dim_text,feature_dim_vision,finite_ratio,interval_valid_ratio,mean_active_fraction,mean_audio_observed_ratio,mean_duration_fit,mean_pause_quality,mean_vision_observed_ratio,method,n_samples,probe_accuracy,probe_accuracy_std,probe_component,probe_macro_f1,probe_macro_f1_std,probe_mae,probe_mae_std,probe_pearson,probe_pearson_std,probe_repeat_macro_f1,probe_repeat_pearson,probe_repeats,status,vision_fps,vision_peak_retention,vision_rmse_ratio,vision_roughness
,,,2.878401,,text,,1799,1537,768,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,bert,100,0.5090000000000001,0.026436506745197808,text,0.4556725299627128,0.027684510728120858,0.5583043688737386,0.012686226670045335,0.34863411730930255,0.0487606724206559,"[0.44883933676386506, 0.4328204879311461, 0.47896283610569323, 0.46626848601337506, 0.4662987857162615, 0.46997563913510826, 0.46682769726247986, 0.47130647130647124, 0.38633392751039813, 0.46909163188232955]","[0.2644728354271594, 0.3195465496255963, 0.30266448033597204, 0.3256321435290366, 0.4079168831425718, 0.40518232035211266, 0.3939302299131428, 0.38949017560804866, 0.3287893536567719, 0.34871620150261345]",10,ok,,,,
,,,2.875966,,text,,1799,1537,768,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,hash,100,0.42700000000000005,0.0271006354989038,text,0.3929276365265497,0.029198027669084893,0.7236778031908561,0.021121638318314352,0.09887432131038294,0.03484141838780189,"[0.422008547008547, 0.3344311034877072, 0.3738235294117647, 0.42783810784687987, 0.3969353916523728, 0.3762879700254249, 0.40153165643361727, 0.4235246888799679, 0.3717109485303555, 0.40118442198886023]","[0.06850431722054089, 0.1327474102550284, 0.10209843871265706, 0.16000218040751013, 0.08489897301651343, 0.08813869388681675, 0.03883159269401396, 0.13130442893028627, 0.09431546680108036, 0.08790171117938203]",10,ok,,,,
,,,2.882766,,audio_features,40,1799,81,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_40,100,0.453,0.05478239782184705,audio,0.376114563114135,0.05828590604632028,0.7888491914310402,0.053468083549636496,0.1242617993828814,0.03958170084478387,"[0.36351806351806354, 0.45356341189674526, 0.37324093324093327, 0.3361678110597641, 0.4018316783958354, 0.3170153204051509, 0.30315853236413987, 0.3268759018759019, 0.4112959112959113, 0.47447806708890455]","[0.105901755075215, 0.17277560700039768, 0.1653078727625193, 0.03226804559065572, 0.12317976359732911, 0.13923897521613404, 0.11149803285001936, 0.12981420069205116, 0.11203851230187771, 0.15059522874261488]",10,ok,,,,
,,,2.812144,,audio_features,23,1765,47,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,mfcc_delta_23,100,0.42300000000000004,0.048085571871635494,audio,0.3620798096823775,0.04415307769480159,0.7804504689057697,0.041737579457837584,0.06148626758774939,0.07207634549486948,"[0.31720514841082215, 0.4011119599354893, 0.34075930484075484, 0.3737732024749307, 0.29602058319039454, 0.3665306644030048, 0.345953938790508, 0.3324867724867725, 0.4368562716645313, 0.41010025062656635]","[-0.002920900715658827, 0.15001194773259455, 0.14526757459975911, -0.046735443856106, -0.007374660768613865, 0.08965637813807878, 0.027570665386314534, 0.13685878755308978, 0.018416150348012948, 0.10411217746002288]",10,ok,,,,
,,,2.818503,,audio_features,31,1781,63,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,spectral_mel_31,100,0.437,0.04522781838156197,audio,0.36771788633483293,0.04504766131276851,0.804734966303522,0.04890302560738658,0.11052804288813385,0.05769301767009329,"[0.31793338420314804, 0.4220026350461133, 0.31058092234562823, 0.36805011241101465, 0.3736997635933806, 0.37831442621354494, 0.3431109446836839, 0.31696626621475343, 0.4171628165436215, 0.42935759209344115]","[0.07168197410935107, 0.17119566943066764, 0.1742431168542469, 0.007897172309302496, 0.045345801461706, 0.1210003739092761, 0.10073904494898621, 0.17973879066111387, 0.09606656644308148, 0.13737191875360655]",10,ok,,,,
,,,2.809846,,audio_features,9,1737,19,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,core_prosody_9,100,0.5000000000000001,0.045460605656619524,audio,0.3825646451537628,0.04220598058705642,0.6942588142798591,0.029185840151111045,0.03378795979005973,0.0427559272654171,"[0.392616796981367, 0.3833767151900768, 0.3828680897646415, 0.2688357394239747, 0.40264896647875376, 0.3955678989665395, 0.41644769372042106, 0.3736984713468086, 0.41500832821951433, 0.39457775144553064]","[-0.043209046932248786, 0.007643322843237223, 0.10129003078254331, 0.06737272764851655, 0.06370972997345026, 0.03946460219801727, 0.00678892022645874, -0.008388951663657973, 0.04505172720941957, 0.05815653561486117]",10,ok,,,,
,,,2.773838,,audio_features,3,1725,7,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,energy_voiced_f0_3,100,0.5119999999999999,0.02250925735484553,audio,0.36408675504734933,0.03204961325802887,0.6269283825966008,0.0213807468362177,0.1302866544183044,0.04790413068862331,"[0.39264682742943613, 0.3591180061768297, 0.4370470546941136, 0.3585987562365515, 0.3701124144672532, 0.33143059855521156, 0.37093758987633013, 0.32883508360504543, 0.34390273704789837, 0.34823848238482386]","[0.040648024812301335, 0.130443938574272, 0.21346218279990128, 0.16273642025774882, 0.14901676701673466, 0.14466338273866733, 0.09144939835503087, 0.11806399829659045, 0.09156312952716572, 0.16081930180463164]",10,ok,,,,
,,,2.786306,,vision_features,,1799,181,,90,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_90,100,0.388,0.03705851229249946,vision,0.3116471456118677,0.04193770713267341,0.9406778719151232,0.058851627894663416,-0.15279008833822197,0.06803049154221902,"[0.327605314937297, 0.2772187281621244, 0.3717367024989529, 0.2722222222222222, 0.35178497091616884, 0.23620645817442154, 0.2942921716973394, 0.3508158508158508, 0.31394993894993894, 0.3206390977443609]","[-0.20648660167108965, -0.15331688511256988, -0.012200005219232207, -0.20691954726738768, -0.16604758678822262, -0.26654223748665107, -0.12613984288933464, -0.10845446446873064, -0.1407052915805597, -0.14108842089844134]",10,ok,,,,
,,,2.841452,,vision_features,,1727,109,,54,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,no_hog_54,100,0.378,0.05846176338238334,vision,0.31490929519427685,0.05937177645460125,0.8456966405152677,0.04940754900314421,-0.09799833915444575,0.07082288593946809,"[0.28384107266094843, 0.2924917188075083, 0.42836334533813525, 0.27292598112270244, 0.31942349589408414, 0.2243877715575829, 0.3594838517192511, 0.33479163113309457, 0.26659319344031035, 0.3667908902691512]","[-0.10509931838360366, -0.16271681164462387, -0.008766926136816374, -0.1350496156863601, -0.11926091084594323, -0.2404111594381175, -0.012225453174807948, -0.0797422218487394, -0.05733317164631301, -0.0593778027391325]",10,ok,,,,
,,,2.785229,,vision_features,,1695,77,,38,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,compact_38,100,0.41000000000000003,0.055577773335110214,vision,0.3426117010589104,0.05350190127790436,0.8451641767419211,0.04884213465096087,-0.18561970636439207,0.08039353515163249,"[0.32052684349649074, 0.33583404376243253, 0.4288686348325738, 0.2828901897759162, 0.3524103455770485, 0.23995975136731748, 0.3408122807321739, 0.3577922077922078, 0.3814137034073539, 0.38560900984558977]","[-0.17065798653798783, -0.16353505131050036, -0.1333124831339468, -0.2329600572650102, -0.240643302723349, -0.3687908974998827, -0.12736055300687293, -0.2036950671327963, -0.10521591099992357, -0.11002575403365109]",10,ok,,,,
,,,2.76321,,vision_fps,,1799,181,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.7179613315668584,fps_2p5,100,0.385,0.04949747468305832,vision,0.30885220942432673,0.049221657096367326,0.9144455397050268,0.06456771587792144,-0.17495957399518053,0.10733244819686025,"[0.3595959595959595, 0.3359834368530021, 0.3021125839935158, 0.2573357335733573, 0.3660005215371121, 0.22450142450142452, 0.2540145770881091, 0.3256652970490967, 0.3549335288465723, 0.30837903120511817]","[-0.24976701422242198, -0.04592397179481282, -0.0482225860826006, -0.2962817383337612, -0.20236588290888016, -0.3493670251090958, -0.2161375589452152, -0.14024468185080555, -0.04801759733936664, -0.15326768336484542]",10,ok,2.5,,,
,,,2.827702,,vision_fps,,1799,181,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,fps_5p0,100,0.388,0.03705851229249946,vision,0.3116471456118677,0.04193770713267341,0.9406778719151232,0.058851627894663416,-0.15279008833822197,0.06803049154221902,"[0.327605314937297, 0.2772187281621244, 0.3717367024989529, 0.2722222222222222, 0.35178497091616884, 0.23620645817442154, 0.2942921716973394, 0.3508158508158508, 0.31394993894993894, 0.3206390977443609]","[-0.20648660167108965, -0.15331688511256988, -0.012200005219232207, -0.20691954726738768, -0.16604758678822262, -0.26654223748665107, -0.12613984288933464, -0.10845446446873064, -0.1407052915805597, -0.14108842089844134]",10,ok,5.0,,,
,,,2.846795,,vision_fps,,1799,181,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9360297578238754,fps_10p0,100,0.4010000000000001,0.053009433122794276,vision,0.32521117216228546,0.05569970714511996,0.9019907530135219,0.0687293829904752,-0.1664149092294888,0.061275799696043354,"[0.33189773038009296, 0.28142939364389213, 0.4388888888888889, 0.27918409274341477, 0.3237024785949753, 0.24185823754789273, 0.32115347964404567, 0.32961235097157426, 0.3169956886771046, 0.38738938053097344]","[-0.20409956428710263, -0.17054599154338965, -0.026151943461124937, -0.18189979368705908, -0.21423042993701585, -0.2432516640797169, -0.18359055543936734, -0.11479166502264117, -0.1879476048960387, -0.13763987994143154]",10,ok,10.0,,,
