run_id,architecture,seed,bank,condition_id,accuracy,macro_f1,mae,pearson,raw_mae,raw_pearson,worst_condition_mae,worst_condition_macro_f1,actual_missing_ratio,samples_with_new_masking,raw_sign_conflict_rate,mean_projection_magnitude,argmax_agreement_with_published,per_class_f1,confusion
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.30:random:independent:1,0.40625,0.3925558312655087,1.0170690660703927,0.059811705804322046,1.0368105415254831,0.16768762003195806,,,0.10655826233622065,31,0.625,0.07633268653266131,1.0,"{""Negative"": 0.5161290322580645, ""Neutral"": 0.46153846153846156, ""Positive"": 0.2}","[[8, 2, 2], [1, 3, 1], [10, 3, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.30:random:independent:2,0.375,0.3728937728937729,1.0195880092956124,0.037154167608930276,1.0369632178917527,0.1766237708504494,,,0.10655826233622065,31,0.59375,0.07568724721223116,1.0,"{""Negative"": 0.4666666666666667, ""Neutral"": 0.46153846153846156, ""Positive"": 0.19047619047619047}","[[7, 2, 3], [1, 3, 1], [10, 3, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.50:random:independent:0,0.375,0.3672687465790914,1.010688839554414,0.1993276579695099,1.0351123185828328,0.19594549958768281,,,0.17189155743549936,31,0.625,0.07953752682097256,1.0,"{""Negative"": 0.4827586206896552, ""Neutral"": 0.42857142857142855, ""Positive"": 0.19047619047619047}","[[7, 2, 3], [1, 3, 1], [9, 4, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.50:random:independent:1,0.4375,0.4220032840722496,1.007127181806788,0.18597480549614268,1.0328052265103906,0.18753049974237285,,,0.1706660672394209,31,0.625,0.07657599623799324,1.0,"{""Negative"": 0.5517241379310345, ""Neutral"": 0.42857142857142855, ""Positive"": 0.2857142857142857}","[[8, 2, 2], [1, 3, 1], [8, 4, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:2:0.50:random:independent:2,0.40625,0.4004329004329004,1.0077775920085608,0.18251968530264837,1.0350363745819777,0.18190642324308154,,,0.175823338481251,31,0.625,0.07518878311403096,1.0,"{""Negative"": 0.5, ""Neutral"": 0.42857142857142855, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [1, 3, 1], [8, 4, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:01:0.10:random:independent:0,0.40625,0.38730158730158726,1.0133209171578288,0.16054680712466876,1.0404390189796686,0.17392867071405269,,,0.08095922350094244,31,0.65625,0.09123541537523269,1.0,"{""Negative"": 0.5333333333333333, ""Neutral"": 0.42857142857142855, ""Positive"": 0.2}","[[8, 2, 2], [1, 3, 1], [9, 4, 2]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:01:0.10:random:independent:1,0.40625,0.4004329004329004,1.0018964361146092,0.2760106358697262,1.0337110627442598,0.20939011912129488,,,0.08095922350094244,31,0.65625,0.07978624088540673,1.0,"{""Negative"": 0.5, ""Neutral"": 0.42857142857142855, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [1, 3, 1], [8, 4, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:01:0.10:random:independent:2,0.40625,0.41313131313131307,1.023568328597024,0.0408931486222886,1.0413040113635361,0.18505407701820437,,,0.08095922350094244,31,0.53125,0.06888338707573712,1.0,"{""Negative"": 0.4666666666666667, ""Neutral"": 0.5, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [1, 3, 1], [10, 2, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:01:0.30:random:independent:0,0.375,0.35281385281385286,1.0081393032610415,0.16586700607100552,1.0449674552073702,0.16513130260251346,,,0.20658057696002297,31,0.625,0.09424404287729413,1.0,"{""Negative"": 0.5, ""Neutral"": 0.2857142857142857, ""Positive"": 0.2727272727272727}","[[7, 2, 3], [2, 2, 1], [7, 5, 3]]"
smoke_B2_seed42,three_modality_masked_mean_concat_mlp,42,select,select:01:0.30:random:independent:1,0.4375,0.3833067517278044,1.0204644405748695,0.06596143595223034,1.0566334095783532,0.08886389620735759,,,0.20658057696002297,31,0.53125,0.07705237733386457,1.0,"{""Negative"": 0.6060606060606061, ""Neutral"": 0.3333333333333333, ""Positive"": 0.21052631578947367}","[[10, 1, 1], [2, 2, 1], [9, 4, 2]]"
