audio_peak_retention,audio_rmse_ratio,audio_roughness,elapsed_sec,error,family,feature_dim_audio,feature_dim_fused,feature_dim_text,feature_dim_vision,finite_ratio,interval_valid_ratio,mean_active_fraction,mean_audio_observed_ratio,mean_duration_fit,mean_pause_quality,mean_vision_observed_ratio,method,n_samples,probe_accuracy,probe_macro_f1,probe_mae,probe_pearson,status,vision_fps,vision_peak_retention,vision_rmse_ratio,vision_roughness
,,,2.769869,,text,,1799,768,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,bert,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,,,,
,,,2.785617,,text,,1799,768,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,hash,100,0.46,0.42264550264550266,0.7416608169982993,-0.035736148344859824,ok,,,,
,,,2.768798,,audio_features,40,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_40,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,,,,
,,,2.762632,,audio_features,23,1765,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,mfcc_delta_23,100,0.47,0.3931121166415284,0.5979947085930801,0.21929290150863032,ok,,,,
,,,2.77238,,audio_features,31,1781,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,spectral_mel_31,100,0.48,0.39839572192513373,0.6025190057300254,0.21092376107833996,ok,,,,
,,,2.767566,,audio_features,9,1737,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,core_prosody_9,100,0.5,0.4251666996765036,0.5953840503308521,0.23045060717804358,ok,,,,
,,,2.742087,,audio_features,3,1725,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,energy_voiced_f0_3,100,0.5,0.4263822090681136,0.5918397657166956,0.2411943391933831,ok,,,,
,,,2.740369,,vision_features,,1799,,90,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,full_90,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,,,,
,,,2.738876,,vision_features,,1727,,54,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,no_hog_54,100,0.49,0.40885131387125817,0.5991039879822719,0.2391130408541716,ok,,,,
,,,2.749342,,vision_features,,1695,,38,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,compact_38,100,0.51,0.4416369319281941,0.5991484911247462,0.2389643397733219,ok,,,,
,,,2.745453,,vision_fps,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.7179613315668584,fps_2p5,100,0.5,0.41419074752408086,0.5987449979208451,0.22106280727639682,ok,2.5,,,
,,,2.74123,,vision_fps,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9096911384873103,fps_5p0,100,0.49,0.4103565421572382,0.598965090765596,0.21816667068192977,ok,5.0,,,
,,,2.752315,,vision_fps,,1799,,,1.0,1.0,0.47350730049899353,0.9720862304517768,0.8569250134175996,0.6659943525982662,0.9360297578238754,fps_10p0,100,0.49,0.4103565421572382,0.5997020150912435,0.2151535008167044,ok,10.0,,,
